story	text	retweet_count	created_at	hashtags	media	favorite_count	id	user_favourites_count	user_followers_count	user_friends_count	user_listed_count	user_location	user_name	user_screen_name.1	user_statuses_count
	"Not only should KAVANAUGH  
WITHDRAW  his NOMINATION. 

HE should also RESIGN from 
his FEDERAL  JUDGESHIP
 
OR BE IMPEACHED. 

Let the
CRIMINAL PROCEEDINGS BEGIN !
#WomenRiseUp
#MeToo
#GlovesOff"	2968	2018-09-24 01:28:11+00:00	WomenRiseUp MeToo GlovesOff		7005	1044035737648271360	122739	88539	40745	84	United States	Linda Rothwell. #GlovesOff	Bornabrit1	123781
	"세계 최고 수준 성평등을 이뤘다고 자랑하던 스웨덴에선
지금 여성들의 성폭력 고발이 봇물처럼 쏟아지고 있다

스웨덴 ‘미투’#MeToo 운동을 보며
https://t.co/yNx73XQXMz https://t.co/ZeLtOLCaIi"	2830	2017-10-29 02:33:19+00:00	MeToo	https://twitter.com/wnewskr/status/924464132493000704/photo/1	551	924464132493000704	114	195371	3451	301	Korea	여성신문	wnewskr	18091
	"BREAKING: The ranking member of the House Oversight Committee in Congress calls for an investigation into the sexual misconduct allegations against Trump

#TrumpSexProbe #TrumpResign #MeToo https://t.co/lUvKZLrtvb"	2674	2017-12-12 18:25:47+00:00	TrumpSexProbe TrumpResign MeToo		4970	940648894177869824	149380	962325	85783	4302		Scott Dworkin	funder	276026
	"A question for any senator who continues to stand by Brett Kavanaugh...

What would YOU do if YOUR teenage daughter came home, scared and disheveled, and told you that a drunken teenage boy had physically assaulted her and tried to rape her?

#PostponeTheVote #MeToo"	2650	2018-09-17 11:24:48+00:00	PostponeTheVote MeToo		5840	1041649165963546624	208468	778524	51116	2494	New York	Jon Cooper 🇺🇸	joncoopertweets	246505
	"If you need help please ask for it. 

National Sexual Assault Hotline: (800) 656-HOPE

#GoldenGlobes #WhyWeWearBlack #MeToo #TIMESUP"	2625	2018-01-07 23:37:43+00:00	GoldenGlobes WhyWeWearBlack MeToo TIMESUP		4900	950149480271302656	58792	3754918	6352	34494	Los Angeles	Alyssa Milano	Alyssa_Milano	72257
	"Everyone know @RahulGandhi hate Hindus but now its officially declared with this article. Congress Mouthpiece Anti Hindu articles are just to defame India &amp; Hindu culture. Rahul Gandhi if u have shame, apologies now https://t.co/C5qxtbq32K"	2226	2018-11-26 05:34:45+00:00			3744	1066928224574160896	68615	715613	8308	901	Delhi/Muzaffarpur/Machhiwara	Tajinder Pal Singh Bagga	TajinderBagga	94258
	Hi Sara! I don't know you, and I don't hold this tweet against you. But I'm going t o use it as an example because think it gives us a chance to have an important conversation about something a lot of folks miss when we talk about sexual violence. https://t.co/DTaTgWoLaU	2070	2018-09-19 21:19:39+00:00			4610	1042523639315345409	143225	18678	2846	112	DMV	Alyssa Leader	alittleleader	34368
	"When it comes to the #MeToo movement, I see men wondering what they can “do to help.” This is my list.
1. Be quiet.
2. Listen.
3. Learn.
4. Lead/teach young men by example.
5. Stand up to friends and family who act in an abusive manner.
6. Stand behind women, not in front."	2065	2017-10-16 08:08:14+00:00	MeToo		3893	919837373671895040	64609	648	296	9	Chicago, IL	nathan “bad boy” thompson	natepthomps	28804
	The man in the video is @Mysonne and he was arrested about an 1.5 hours after this interview along with 14 other men blocking the road in protest. #CancelKavanaugh #StopKanavaugh #BelieveSurvivors https://t.co/5N44wpxur1	2052	2018-10-05 19:39:41+00:00	CancelKavanaugh StopKanavaugh BelieveSurvivors		5758	1048296688216150016	56833	55014	9618	800	DC/NYCNative/❤️ in #Ferguson	ChuckModi	ChuckModi1	134606
	"I started this last night and now it has been confirmed by others. Michelle Williams paid under 1,000 and Mark Wahlberg paid 1.5m. Williams was told they were all donating their time for the reshoots. THIS IS AN EGREGIOUS GENDER PAY GAP. #paymichelle 
https://t.co/edORyoNkgf https://t.co/red4f2LQF4"	2018	2018-01-10 02:03:08+00:00	paymichelle		3522	950910849119653889	2293	46876	5662	1213	melissa@womenandhollywood.com	Melissa Silverstein	melsil	93163
	"I am not a Republican. But I am an American. 

And I never thought I’d live to see the day that a GOP President (or any President) would mock John McCain &amp; George H.W. Bush and praises Vladimir Putin. 

And this crowd of “American patriots” eats it up?  Stunning. https://t.co/lVFkz7lVbk"	1991	2018-07-06 20:17:38+00:00			4037	1015328944210374656	119605	190790	100096	880	Studio City, CA	Bryan Behar	bryanbehar	51846
	"•We learned of Catholic sex abuse after 70 yrs
•We learned of Cosby's sex abuse after 40 yrs
•We learned of Penn State sex abuse after 30 yrs
•We learned of Weinstein's sex abuse after 30 yrs

US culture enables abusers &amp; shames survivors—Dont act so shocked
#BelieveSurvivors https://t.co/Jt4pxEiEoO"	1959	2018-09-26 18:43:25+00:00	BelieveSurvivors		4507	1045021039326105600	65205	306327	335	1906	Virginia, USA	Qasim Rashid, Esq.	QasimRashid	69762
	"Please, #TanushreeDutta, independent of your grievance, do not malign India unfairly.
you said ""harrasment is engrained in this country"". No, it is not.
India is much better than other countries. Pls look around.
the reason is that still many Indians follow their Dharma.
#MeToo"	1938	2018-10-08 06:40:19+00:00	TanushreeDutta MeToo		4281	1049187715818778624	3585	116536	865	271		Maria Wirth	mariawirth1	27775
	"We stand with every ""me, too"" said aloud or silently. #MeToo. Thank you @TaranaBurke for pioneering #MeToo 10 years ago."	1877	2017-10-16 20:10:39+00:00	MeToo MeToo		6029	920019175594233856	2818	1070612	687	3666	worldwide	Black Lives Matter	Blklivesmatter	21410
	The #MeToo movement led to accountability for people who had avoided it. It’s not just VA Governor Northam who owes the people an explanation. #AskAboutIt https://t.co/DS4JlF60rI	1874	2019-02-04 16:35:40+00:00	MeToo AskAboutIt		4488	1092461698433339392	90857	738039	1382	4363	Alabama	Joyce Alene	JoyceWhiteVance	36685
	"I’m still baffled by this new men’s #MeToo phobia. I’m a man. I have boys. Never once have I thought to myself, “man. I sure hope my kids and I don’t get falsely accused of sexual assault today!”

If you find yourself thinking that, look in the mirror. Fix that person."	1718	2018-10-01 21:16:01+00:00	MeToo		6402	1046871378790690817	8249	381440	456	2084		Angry Staffer	Angry_Staffer	26735
	"I personally know twenty women who have either been sexually harassed or assaulted. I don't know one woman who has ever lied about it.
#BelieveChristine 
#Kavanaugh"	1701	2018-09-18 20:35:38+00:00	BelieveChristine Kavanaugh		7016	1042150173374218240	107480	102951	344	912	LA/NY	Emily Brandwin	CIAspygirl	45687
	#metoo 당황한 일부 관리직 혹은 남성 직원들이 예방책이랍시고 채용이나 업무 등에 여성을 배제하거나 차별하는 불법적 행위들을 한다고 합니다. 이는 그들이 여성 가까이에 있으면 성폭력을 해왔고 할 수 있는 잠재적 성범자임을 스스로 드러내는 것. 서로 존중하고 차이를 인정하며 공존합시다.	1692	2018-03-08 00:41:45+00:00	metoo		1320	971546479486578688	25328	778765	111907	2717	대한민국	표창원	DrPyo	46065
	"Where are all the #MeToo headlines over this woman admitting to drugging and robbing men she lured with sex?

https://t.co/LDXxgUwiGP"	1690	2019-03-27 16:47:11+00:00	MeToo		5736	1110946379331973121	100221	51715	3246	806		Ashe Short	AsheSchow	127978
	"K-Pop star Amber of f(x) joins '#MeToo' movement: ""It happens everywhere"" https://t.co/jrNux3JTzS"	1664	2017-10-21 01:50:05+00:00	MeToo		4912	921554149703077888	6456	10904814	3225	20166		billboard	billboard	268947
	M’AAM https://t.co/dxTtshSfnU	1643	2018-07-24 03:05:33+00:00			9703	1021592192790536197	4468	1421934	2522	8104		Jemele Hill	jemelehill	124619
	"Dear Walmart,

Removing Cosmopolitan magazine from checkout lines at the behest of a Republican censorship organization that hates female sexuality is not a victory for the #MeToo movement. It’s a severe perversion of it.

More room for those guns though huh?

Sincerely,
America"	1622	2018-03-28 12:00:37+00:00	MeToo		5720	978965078765551616	63575	519484	6131	2019	eugene@coolquit.com	Eugene Gu, MD	eugenegu	22254
	@notyourreggie's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.	1592	2017-10-16 22:27:49+00:00			0	920053694690971649	3600	318	180	1			notyourreggie	12588
	Just published: Got a statement from @realdylanfarrow on the people in Hollywood who are publicly supporting anti-harassment/assault efforts like #MeToo and #TimesUp while still supporting Woody Allen https://t.co/KnZmxROcEN https://t.co/X5Li5W8Jpv	1573	2018-01-08 22:33:11+00:00	MeToo TimesUp	https://twitter.com/AlannaBennett/status/950495625782743041/photo/1	2957	950495625782743041	148681	48050	4719	448	she / her	alanna bennett 😩	AlannaBennett	69841
	"He lived in my house.

#whyididntreport"	1552	2018-09-22 02:54:59+00:00	whyididntreport		11156	1043332804313067520	48646	964047	355	4042	Houston, TX	Beth Moore	BethMooreLPM	49607
	민주, 수행비서 성폭행 의혹 안희정 출당·제명 결정(종합) - 더불어민주당은 피해자 편입니다. 더 많은 당 내 유력자 권력자에 대한 고발 #metoo 가 이루어지더라도 피해자를 지지 지원 보호하고 철저한 진실 규명과 책임 추궁이 이루어질 수 있도록 최선 다 하겠습니다.  https://t.co/RhTRdVXfeK	1529	2018-03-05 13:39:37+00:00	metoo		1552	970655072131604480	25328	778762	111907	2717	대한민국	표창원	DrPyo	46065
	"Kavanaugh could’ve asked for the release of his papers; he didn’t. Kavanaugh could’ve asked the FBI to investigate Dr. Blasey Ford’s allegation to clear his name; he didn’t. Kavanaugh could’ve asked for more witnesses; he didn’t. #BelieveSurvivors"	1428	2018-09-24 17:48:46+00:00	BelieveSurvivors		2665	1044282510375636992	1523	791195	8166	2310	San Francisco	Nancy Pelosi	TeamPelosi	8798
	"In a tearful statement to the court, his accuser said she was devastated by the decision to ""let my rapist go free."" https://t.co/ewPSULSJr6 #MeToo"	1423	2018-12-11 01:46:45+00:00	MeToo		1868	1072306662214651904	125533	471635	27880	2084	Washington, DC	Democratic Coalition	TheDemCoalition	188505
	@SARSCoV2Data's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.	1360	2018-06-05 02:24:38+00:00			0	1003824888417804288	53087	447	2720	1			SARSCoV2Data	17261
	"seriously?! it is absolutely not the job of survivors to rehabilitate abusers. you wanna do that work? awesome.  we’re not your fucking mules. our society already bends over backwards to embrace/reward/protect abusers. your privilege &amp; ignorance are on full display here https://t.co/o1rzMPtZHW"	1352	2018-08-28 19:41:25+00:00			5928	1034526385946144770	16418	232875	2651	0	New York City	Franchesca Ramsey	chescaleigh	35142
	@Broadricks3's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.	1345	2019-06-30 09:57:17+00:00			0	1145270069540392960	40927	969	1243	1			Broadricks3	125702
	"We believe you, Julie Swetnick. Thank you for bravely coming forward, putting it all on the line to tell the truth about who Brett Kavanaugh truly is. We can’t keep rewarding abusers with more power. 

#CancelKavanaugh #BelieveSurvivors
https://t.co/KrKYdOpVwA"	1334	2018-09-26 15:38:50+00:00	CancelKavanaugh BelieveSurvivors		4129	1044974584859160577	21396	627269	857	3363	Washington, D.C.	Women's March	womensmarch	30179
	I have been sitting on my #MeToo contributions all day because dismissing my experiences of harassment as 'not that bad' is second nature	1328	2017-10-16 13:34:03+00:00	MeToo		4217	919919368921927680	21348	18592	1769	142	London	Leena Norms	leenanorms	20213
	Texas Attorney General’s top aide mocks ‘pathetic’ #MeToo movement and calls women’s marchers ‘c*nts’ https://t.co/wonqFLhJjY https://t.co/T9LXq5h2Zp	1318	2017-12-14 21:01:31+00:00	MeToo	https://twitter.com/DearAuntCrabby/status/941412861385035777/photo/1	684	941412861385035777	99419	344206	30216	1264	The Bowels of NE FL Redneckery	🖕🏻Aunt Crabby Calls Bullshit 🖕🏻	DearAuntCrabby	114983
	Hundreds of protestors who #BelieveSurvivors have peacefully assembled in protest on Capitol Hill today, risking arrest. It’s up to all of us everywhere to show that this movement has the intensity and the breadth to be unignorable. That’s why I’m walking out right now. Are you? https://t.co/15s11Fot3s	1295	2018-09-24 17:13:18+00:00	BelieveSurvivors		3450	1044273584301060096	65619	157984	4588	1617	Wisconsin, USA	Ben Wikler	benwikler	37751
	Qu'est-ce qu'il fout la bas Rudi Garcia ? https://t.co/FBHElKfsEX	1267	2017-10-30 14:30:33+00:00			1012	925007018548711427	26038	5020	217	7		Sansauce	sansauce	19239
	Violence against women is a human rights violation. https://t.co/q4riBN8LEw #MeToo https://t.co/s8GfUQvYAs	1254	2017-10-21 01:35:05+00:00	MeToo	https://twitter.com/UN_Women/status/921550375739691008/photo/1	1194	921550375739691008	8917	1990352	4255	12118	Worldwide	UN Women	UN_Women	63262
	"Serious question. 
No snark - doesn’t #metoo  and all those who calked for al Franken to resign - have a moral obligation to vett allegations against biden ?"	1221	2020-03-31 22:33:50+00:00	metoo		6554	1245117123430699014	6667	1734532	738	14006	USA Certum est quia impossibile est 	John Cusack	johncusack	134215
	"2018 골든글로브에 엠마 왓슨이 데려온 파트너는 20년 넘게 여성에 대한 폭력에 맞서온 페미니스트 활동가 마라 라라시 (Marai Larasi). #TimesUp 운동에 대해 발언하게 하는 그녀에게 마이크를 대주는 엠마의 벅찬 얼굴 😭
https://t.co/pI3vgiHxDk https://t.co/jLnA56bLhy"	1221	2018-01-08 01:13:10+00:00	TimesUp	https://twitter.com/affable_selene/status/950173501209522177/photo/1	538	950173501209522177	5852	3343	93	14	⚡ Girls can do anything ⚡️	sᴇʟᴇɴᴇ	affable_selene	10721
TRUE	I was Amish and I endured 6 months of sexual abuse before I went to the police. Conservative clothing/lifestyle does not prevent sexual assault. The only way to stop this horrifying cycle is to break the silence and report! National Sexual Assault Hotline 1-800-656-4673 #metoo https://t.co/qiRGTLq8jX	1190	2019-03-03 01:47:54+00:00	metoo	https://twitter.com/ExAmish101/status/1102022757036974080/photo/1	2610	1102022757036974080	2596	23080	22751	44	Los Angeles, CA	🌊🌊Misty Griffin🌊🌊	ExAmish101	2821
	We still believe that Biden would be a uniquely weak challenger to Trump, forfeiting the high ground on corruption, the Iraq War, and even #MeToo while being forced to defend his record on mass incarceration, bankruptcy, credit card companies and banks. https://t.co/pteRV2hrEb	1164	2020-03-02 22:23:38+00:00	MeToo		3706	1234605309827670017	1458	1281915	8947	14633		The Nation	thenation	100102
	We still believe that Biden would be a uniquely weak challenger to Trump, forfeiting the high ground on corruption, the Iraq War, and even #MeToo while being forced to defend his record on mass incarceration, bankruptcy, credit card companies and banks. https://t.co/pteRV2hrEb	147	2020-03-07 18:19:00+00:00	MeToo		408	1236355687569076224	1458	1281913	8947	14633		The Nation	thenation	100102
	THIS WHOLE THREAD PLEASE https://t.co/WveN54hCx5	1154	2018-07-12 15:11:19+00:00			5318	1017426184626319361	22673	1693809	1954	2940		terry crews	terrycrews	25138
	#MeToo isn’t an “us vs. them mentality,” it’s an everybody vs. people who sexually harass, rape, and abuse movement.	1129	2019-01-29 04:01:20+00:00	MeToo		5011	1090097538907193345	165317	216157	2119	842	New York, NY	feminist next door	emrazz	63456
	"Sad Rose Marie wasn't in @TheAcademy IN MEMORIAM. 1929 saw 1st Oscars &amp; her 1st film. Her #METOO moment was 25 yrs later w/her rejecting advances of a TOP BANANA producer. She did LOST &amp; FOUND 70 yrs after her 1st film &amp; ended her career w/#waitforyourlaugh 90 yrs after it began. https://t.co/4B4U0gRc4c"	1106	2018-03-05 06:03:29+00:00	METOO waitforyourlaugh	https://twitter.com/RoseMarie4Real/status/970540281874604032/photo/1	5123	970540281874604032	3775	94414	1435	395	Los Angeles, CA	Rose Marie-Official	RoseMarie4Real	2570
	"#스쿨미투 #metoo

안녕하세요. 저는 진주 진명여중 재학생입니다. 처음엔 미투를 열 때 두렵고 무서웠습니다. 많은 분들을 보며 용기를 얻어 미투에 참여하게 되었습니다. 더 이상 저희들의 목소리가 묻히지 않도록 도와주십시오. 저희 학교에 당한 피해 목소리를 내주십시오. 꼭 알리고 싶습니다."	1103	2018-09-26 13:26:11+00:00	스쿨미투 metoo		173	1044941203693690880	43	180	21	1		진명여중 스쿨미투	Jinmyungmetoo	91
	In 2018, all 20 of Trump’s accusers will be heard. One by one. Story by story. I’ll make damn sure of it. They. Will. Be. Heard. #MeToo #TrumpSexProbe	1097	2017-12-25 04:14:08+00:00	MeToo TrumpSexProbe		2796	945145613368389633	149378	962299	85783	4301		Scott Dworkin	funder	276026
	Thinking about all of the survivors who had to go through this holiday (or avoid this holiday) with (or because of) family who sexually abused/assaulted them. Be gentle with yourself. Take care of yourself. It’s ok to put your self care first. 💕 #metooMVMT	1083	2018-11-24 10:48:37+00:00	metooMVMT		6496	1066282432196952064	13034	154992	1119	754	Harlem, NY	Tarana	TaranaBurke	10865
	"We need your voices—loud and clear—now more than ever: #BelieveSurvivors

This shouldn’t be radical.
This shouldn’t be controversial.
It should be common sense.
Because when someone like Dr. Ford shares her experience—she should be believed."	1069	2018-09-24 17:15:00+00:00	BelieveSurvivors		2721	1044274010249449472	277	468147	2413	3802	WA & DC	Senator Patty Murray	PattyMurray	19972
	"ชินฮเยคบใครไม่เคยเปิดเผยความสัมพันอะไรเลย ครั้งนี้กลับยอมรับง่าย ๆ 
ซูจีพึ่งเริ่มความสัมพันเอง ยังคลุมเครือ แต่ออกมายอมรับไม่ได้ปฏิเสธอะไร

เรื่อง #MeToo คนนอกประเทศไม่รู้ลึกมาก ข่าวเดทออกมา ตอนนี้รู้กันหมดละ เริ่มโยงและเริ่มระแวง จะปล่อยใครมาปิดเรื่องนี้อีก"	1052	2018-03-09 10:45:52+00:00	MeToo		115	972060897882529792	788	69	61	0		🐾	mm_ppas	24528
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-05 14:42:34+00:00			0	960524053248327682	25014	939	2153	20	Los Angeles, CA	MAGA2016🐸	Letty224	32111
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-05 19:21:05+00:00			0	960594142920433664	34863	2951	2939	26	United States	A patriot	altum_teresa	72738
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-03 20:02:40+00:00			0	959879831407267841	22010	886	754	21	Bangalore, India	Balakrishna	BalakrishnaOne	32834
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-08-29 03:31:00+00:00			0	1034644558024462338	141593	15995	11881	81		Jaredo Texas	JaredoTexas	192166
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-03 18:24:08+00:00			0	959855036548435968	3054	37191	30624	191	England, United Kingdom	red dragon	326_paul	47735
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-05 21:47:46+00:00			0	960631056045977602	136957	175	102	1	California S.S.R.	RangeBound	alexpk321	30740
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-03 17:48:21+00:00			0	959846031893651456	151259	2506	2762	48		The Time Is Now [PPC] 🇨🇦🇺🇸	john_zealand	204676
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-04 16:48:59+00:00			0	960193477844795393	17120	115	207	0	Virginia, USA	Marsha	Marsha92149999	29016
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-03 19:38:56+00:00			0	959873861998145538	25456	1899	2417	30	Ottawa, Ontario	G. Ray Gompf, CD	GompfRay	28124
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-04 17:35:57+00:00			0	960205296223379456	137587	4164	4102	2	Michigan, USA	Noneofyourbuiness	equaljusticeall	148426
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-10 17:40:17+00:00			0	962380717115273216	17535	744	1545	9		Pamela	pamela03702219	35541
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-04 21:56:54+00:00			0	960270969557454849	15769	901	1261	33		@ loesje370	Loesje370	72897
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-05 05:08:34+00:00			0	960379602563620864	10331	182	210	0	Canada	MABUS	happy_pipes	31925
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-05 19:57:14+00:00			0	960603240567132168	207990	5456	6157	34	USA	🇺🇸God Bless America Land That I Love. MAGA🙏🇺🇸	drou_bre	212519
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-04 14:36:00+00:00			0	960160010713022464	673	23	261	0		USA/24/365	rm24365	378
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-06 04:32:12+00:00			0	960732838055223296	1110	69	455	1	Colorado/New York, USA	Ragnar Schuett	r1schuett	757
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-03 20:17:49+00:00			0	959883645489238016	62048	188	883	4		TJG	Yellowknife7777	56387
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-05 04:52:36+00:00			0	960375584265310208	8410	897	1354	0		LisaC ❌	willow20191196	12761
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-13 06:50:28+00:00			0	963304348066504704	77	17	10	0	Hell	Tina Smith Guzman 🇩🇪🇺🇸	T76543	80
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-12 20:36:10+00:00			0	963149752266145792	255419	11648	12147	20	Miami, Fl	Mari Contreras🇺🇸	Maricristy	66147
	@AmyMek's account has been withheld in Germany, France based on local law(s). Learn more.	1047	2018-02-07 12:52:15+00:00			0	961221067560890369	33850	4751	4580	90		Behind Enemy Lines	grandpa_jimbo	80094
